Date,Arabica,parkinson_vol,garman_klass_vol,RVB,RVG,RSK_5d,RKU_5d,RVB_5d,RVG_5d,RSK_22d,RKU_22d,RVB_22d,RVG_22d,parkinson_vol_rolling_5,parkinson_vol_rolling_22,garman_klass_vol_rolling_5,garman_klass_vol_rolling_22,ONI_dummy,TempIndo_first,PrecIndo_first,TempViet_first,PrecViet_first,TempBras_first,PrecBras_first,ONI_first,ADS_Index_first,VIX_first,GEPU_ppp_first,GSCI_Commodity_squared_return,Soybean_squared_return,Corn_squared_return,Wheat_squared_return,Diesel_squared_return,IDRUSD_squared_return,EURUSD_squared_return,BRLUSD_squared_return,CHFUSD_squared_return,VNDUSD_squared_return,Germany_squared_return,US_squared_return,France_squared_return,coffee_index,coffee_index_squared_return,ONI_dummy_rolling_5,ONI_dummy_rolling_22,TempIndo_first_rolling_5,TempIndo_first_rolling_22,PrecIndo_first_rolling_5,PrecIndo_first_rolling_22,TempViet_first_rolling_5,TempViet_first_rolling_22,PrecViet_first_rolling_5,PrecViet_first_rolling_22,TempBras_first_rolling_5,TempBras_first_rolling_22,PrecBras_first_rolling_5,PrecBras_first_rolling_22,ONI_first_rolling_5,ONI_first_rolling_22,ADS_Index_first_rolling_5,ADS_Index_first_rolling_22,VIX_first_rolling_5,VIX_first_rolling_22,GEPU_ppp_first_rolling_5,GEPU_ppp_first_rolling_22,GSCI_Commodity_squared_return_rolling_5,GSCI_Commodity_squared_return_rolling_22,Soybean_squared_return_rolling_5,Soybean_squared_return_rolling_22,Corn_squared_return_rolling_5,Corn_squared_return_rolling_22,Wheat_squared_return_rolling_5,Wheat_squared_return_rolling_22,Diesel_squared_return_rolling_5,Diesel_squared_return_rolling_22,IDRUSD_squared_return_rolling_5,IDRUSD_squared_return_rolling_22,EURUSD_squared_return_rolling_5,EURUSD_squared_return_rolling_22,BRLUSD_squared_return_rolling_5,BRLUSD_squared_return_rolling_22,CHFUSD_squared_return_rolling_5,CHFUSD_squared_return_rolling_22,VNDUSD_squared_return_rolling_5,VNDUSD_squared_return_rolling_22,Germany_squared_return_rolling_5,Germany_squared_return_rolling_22,US_squared_return_rolling_5,US_squared_return_rolling_22,France_squared_return_rolling_5,France_squared_return_rolling_22,coffee_index_rolling_5,coffee_index_rolling_22,coffee_index_squared_return_rolling_5,coffee_index_squared_return_rolling_22,RV_rolling_5,RV_rolling_22,Arabica_rolling_5,Arabica_rolling_22,,
04/08/2008,169.4,0.018053515,0.010136674,0,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,984.5683482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/08/2008,173.6,0,0,0,0.001179492,,,,,,,,,,,,,2,0.6,-11.2,0.3,2.3,-0.3,0,0,-0.01802,-2.35,0,2.469949628,4.113395026,3.641538061,7.629515331,0,0.00981812,0.550722,0.354465232,0.595786701,0.022335838,6.890666138,8.013602441,5.951217643,997.804562,1.783321879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/08/2008,170.35,0,0,7.36807E-05,0,,,,,,,,,,,,,2,0.1,-0.1,1.1,1.3,0.7,0,0,-0.02109,-0.91,0,0.305242541,14.24332356,10.34465512,3.399662594,0,0.003673457,0.127361006,0.172192145,0.242466418,0.397103613,0.426082719,0.112185673,1.969191476,1008.92446,1.228267728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2008,174.05,0,0,0,7.36807E-05,,,,,,,,,,,,,2,-0.3,0.7,-1.7,13.3,-0.1,0,0,-0.02419,0.92,0,1.214270717,1.908747242,7.098662188,50.67836611,0,0.091601852,0.344265431,0.103639004,0.010782906,0.000906376,0.074627776,3.274699832,0.041744275,1000.289888,0.738744783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/08/2008,167.5,0,0,0.000377062,0,,,9.01485E-05,0.000250635,,,,,0.003610703,,0.002027335,,2,-0.1,8.5,1.2,-16,-0.9,0,0,-0.02729,-0.49,0,15.5205041,23.39320751,20.07779279,51.61259636,4.48518642,0.587202088,4.248180243,3.037955667,4.127408372,0.153834201,0.076808433,5.576489711,0.59187297,998.593134,0.028821946,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0360785,,,,,,170.98,,,
11/08/2008,168.35,0,0,1.71E-06,0,1.053390071,2.654094705,9.04907E-05,0.000250635,,,,,0,,0,,2,-0.4,-9.9,-0.7,2.4,0.9,0,0,-0.1001,-0.54,0,0.045780957,1.701610148,0.0583163,13.37070336,0,0.002971576,0.293889295,0.06783458,0.013374756,0.331801465,0.530796874,0.478741149,1.066613768,1002.355163,0.141394839,2,,-0.02,,-2.4,,0.04,,0.66,,0.06,,0,,0,,-0.038138,,-0.674,,0,,3.911149588,,9.072056697,,8.244192892,,25.33816875,,0.897037284,,0.139053419,,1.112883595,,0.747217326,,0.99796383,,0.181196299,,1.599796388,,3.491143761,,1.924128026,,1001.593441,,0.784110235,,0.000341125,,170.77,,,
12/08/2008,170.05,0.00026509,0.000148842,0.000140423,0,-1.167872546,1.944130308,0.000118575,1.47361E-05,,,,,5.3018E-05,,2.97685E-05,,2,1,2.3,0.1,5.1,-0.4,0,0,-0.03883,1.05,0,0.203253321,2.231449527,4.839969553,0.195293208,0,0.002971576,0.007617894,0.50626609,0.417199003,0.770651209,0.129688689,1.470838602,0.195233685,997.559022,0.230050308,2,,0.06,,0.3,,0,,1.22,,0.04,,0,,0,,-0.0423,,0.006,,0,,3.457810326,,8.695667597,,8.483879191,,23.85132433,,0.897037284,,0.13768411,,1.004262774,,0.777577497,,0.962246291,,0.330859373,,0.247600898,,2.182590993,,0.772931235,,1001.544333,,0.473455921,,0.000133312,,170.06,,,
13/08/2008,166.8,0.01317014,0.007394761,0.000604287,0,-1.252957498,1.857689961,0.000224697,1.47361E-05,,,,,0.002687046,,0.001508721,,2,0.2,-1.1,-0.1,-5.4,-0.7,0,0,-0.04151,0.38,0,5.374044154,31.42668956,30.48344317,53.55469415,0,0.011877777,0.016265991,0.085513951,0.0047559,0.044415152,6.333911718,0.085286571,6.705902433,988.4430134,0.842783774,2,,0.08,,0.1,,-0.24,,-0.12,,-0.24,,0,,0,,-0.046384,,0.264,,0,,4.471570649,,12.1323408,,12.5116368,,33.88233064,,0.897037284,,0.139324974,,0.982043771,,0.760241858,,0.914704187,,0.26032168,,1.429166698,,2.177211173,,1.720273426,,997.4480441,,0.39635913,,0.000239433,,169.35,,,
14/08/2008,167.7,0,0,1.00644E-05,0,-1.398826794,2.051322244,0.00022671,-1.36E-20,,,,,0.002687046,,0.001508721,,2,-0.1,0.4,0.6,-2.6,0.3,0,0,-0.04419,-1.21,0,0.418363838,0.611312584,10.90375196,2.762536931,0,2.96859E-05,0.642379842,0.835310605,0.001035975,0.153463844,0.096874566,0.303357195,0.165270405,982.7401442,0.334807576,2,,0.12,,0.04,,0.22,,-3.3,,-0.16,,0,,0,,-0.050384,,-0.162,,0,,4.312389273,,11.87285387,,13.27265475,,24.2991648,,0.897037284,,0.121010541,,1.041666653,,0.906576179,,0.912754801,,0.290833174,,1.433616056,,1.582942645,,1.744978652,,993.9380953,,0.315571689,,0.00022671,,168.08,,,
18/08/2008,165.8,0,0,0,8.16776E-05,-1.457318123,2.78752209,0.000151297,1.63355E-05,,,,,0.002687046,,0.001508721,,2,-0.1,-0.9,-0.7,19,0.2,0,0,-0.20395,0.64,0,2.401021228,1.3701093,0.612482623,5.360991075,5.572877852,0.010697866,0.588392605,1.896118751,1.106222681,0.438309864,0.02100501,1.2417812,0.396828748,989.512631,0.471666018,2,,0.12,,-1.84,,-0.16,,3.7,,0.06,,0,,0,,-0.085716,,0.064,,0,,1.6884927,,7.468234224,,9.37959272,,15.04884374,,1.11457557,,0.005709696,,0.309709125,,0.678208795,,0.308517663,,0.347728307,,1.422455371,,0.716000943,,1.705969808,,992.1219947,,0.404140503,,0.000167633,,167.74,,,
